id,name,parent_id/id,property_cost_method,property_valuation
product_category_adhesion,"Adhésions",product.product_category_all,Standard Price,Manual
product_category_alimentaire,"Alimentaire",product.product_category_all,Standard Price,Manual
product_category_non_alimentaire,"Non-Alimentaire",product.product_category_all,Standard Price,Manual
product_category_boissons_non_sucrees,"Boissons non-sucrées",product_category_alimentaire,Standard Price,Manual
product_category_boissons_non_sucrees_autres,"Boissons à base de thé, plantes, non sucrées",product_category_boissons_non_sucrees,Standard Price,Manual
product_category_cafe,"Café, thé, tisane",product_category_boissons_non_sucrees,Standard Price,Manual
product_category_eau,"Eau",product_category_boissons_non_sucrees,Standard Price,Manual
product_category_laits_vegetaux,"Laits végétaux natures (non rajout de sucre)",product_category_boissons_non_sucrees,Standard Price,Manual
product_category_boissons_sucrees,"Boissons sucrées",product_category_alimentaire,Standard Price,Manual
product_category_cappucino,"Cappucino, chocolat en poudre, etc.",product_category_boissons_sucrees,Standard Price,Manual
product_category_jus,"Jus de fruits",product_category_boissons_sucrees,Standard Price,Manual
product_category_laits_vegetaux_sucres,"Laits végétaux sucrés",product_category_boissons_sucrees,Standard Price,Manual
product_category_sodas,"Sodas et limonades",product_category_boissons_sucrees,Standard Price,Manual
product_category_cereales_feculents,"Céréales et féculents",product_category_alimentaire,Standard Price,Manual
product_category_cereales_feculents_autres,"Autres céréales et féculents",product_category_cereales_feculents,Standard Price,Manual
product_category_farines,"Farines",product_category_cereales_feculents,Standard Price,Manual
product_category_muesli,"Muesli sans sucre,  flocons d'avoine (sans sucre)",product_category_cereales_feculents,Standard Price,Manual
product_category_pain,"Pain",product_category_cereales_feculents,Standard Price,Manual
product_category_pates,"Pâtes",product_category_cereales_feculents,Standard Price,Manual
product_category_pommes_de_terre,"Pommes de terre",product_category_cereales_feculents,Standard Price,Manual
product_category_quinoa,"Quinoa, épeautre, boulgour, blé, semoule, polenta",product_category_cereales_feculents,Standard Price,Manual
product_category_riz,"Riz",product_category_cereales_feculents,Standard Price,Manual
product_category_charcuterie,"Charcuterie et autres produits transformés gras et salés d'origine animale",product_category_alimentaire,Standard Price,Manual
product_category_charcuterie_autres,"Autres charcuteries",product_category_charcuterie,Standard Price,Manual
product_category_charcuteries,"Charcuteries",product_category_charcuterie,Standard Price,Manual
product_category_produits,"Produits transformés de la mer",product_category_charcuterie,Standard Price,Manual
product_category_condiments,"Condiments et aides culinaires",product_category_alimentaire,Standard Price,Manual
product_category_condiments_autres,"Autres (cornichons,  olives,  levures,  etc.)",product_category_condiments,Standard Price,Manual
product_category_bouillons,"Bouillons",product_category_condiments,Standard Price,Manual
product_category_epices,"Condiments, épices, herbes aromatiques",product_category_condiments,Standard Price,Manual
product_category_sauces,"Sauces",product_category_condiments,Standard Price,Manual
product_category_sel,"Sel et poivre",product_category_condiments,Standard Price,Manual
product_category_vinaigre,"Vinaigres et vinaigrettes",product_category_condiments,Standard Price,Manual
product_category_oleagineux,"Fruits à coque et fruits oléagineux",product_category_alimentaire,Standard Price,Manual
product_category_fruits_legumes,"Fruits & Légumes frais et secs",product_category_alimentaire,Standard Price,Manual
product_category_compotes_non_sucrees,"Compotes (sans sucre ajouté)",product_category_fruits_legumes,Standard Price,Manual
