id,name
job_position_salarietplein,"Salarié(e) à temps plein"
job_position_retraite,"Retraité(e)"
job_position_chomage,"Demandeur(se) d'emploi indemnisé(e)"
job_position_etudiant,"Etudiant(e)"
job_position_rsa,"Bénéficiaire du RSA"
job_position_salarietpartiel,"Salarié(e) à temps partiel"
job_position_independant,"Travailleur(se) indépendant(e)"
job_position_apprenti,"Apprenti(e)"
job_position_garantie_jeune,"Garantie jeune"
job_position_aah,"Bénéficiaire Allocation aux Adultes Handicapés (AAH)"
job_position_minima,"Bénéficiaire des autres minimas sociaux"
job_position_caf,"Bénéficiaire allocations CAF"
job_position_arret,"En arrêt de travail"
job_position_auto_entrepreneur,"Auto-entrepreneur(se)"
job_position_conge_parental,"En congé parental"
job_position_asile,"Demandeur(se) d'asile"
job_position_formation,"Formation"
job_position_invalidite,"Invalidité"
job_position_sans_ressource,"Sans ressource"
