id,name
project_budget_ressources,"Budget/Changement de ressources"
project_budget_decouvert,"Budget/Découvert bancaire"
project_budget_dettes,"Budget/Dettes"
project_budget_mesures,"Budget/Mesures d'accompagnement budgétaire"
project_budget_factures,"Budget/Règlement de factures autres"
project_budget_factures_energie,"Budget/Règlement facture d'énergie"
project_budget_tutelle,"Budget/Tutelle/Curatelle"
project_logement_amenagement,"Logement/Aménagement"
project_logement_garantie,"Logement/Dépôt de Garantie"
project_logement_equipement,"Logement/Equipement divers"
project_logement_loyer,"Logement/reprise paiement du loyer"
project_mobilite_transport,"Mobilité/Abonnements transports"
project_mobilite_permis,"Mobilité/Permis de conduire"
project_mobilite_reparation,"Mobilité/Réparation Véhicule"
project_professionnel_emploi,"Professionnel/Aide au retour à l'emploi"
project_professionnel_equipement,"Professionnel/Equipement (PC, etc.)"
project_professionnel_formation,"Professionnel/Frais lié à une formation pro"
project_sante_pharmacie,"Santé/Frais de Pharmacie"
project_sante_hospitalisation,"Santé/Frais Hospitalisation"
project_sante_mutuelle,"Santé/Mutuelle"
project_sante_soins,"Santé/Soins"
project_social_lien,"Vie sociale/Lien Social"
project_social_loisir,"Vie sociale/Loisirs"
project_social_parentalite,"Vie sociale/Parentalité"
